World;Level;Type;ID;Location;IsProbed;ReplayIDWithinWorld
0;0;Object;04;TopRight;False;0
0;0;Object;09;BottomLeft;False;0
0;0;None;;TopRight;False;0
0;0;Object;08;TopRight;True;0
0;0;Face;06;BottomRight;False;0
0;0;Object;07;BottomRight;True;0
0;0;Object;10;TopRight;False;0
0;0;Object;01;BottomLeft;False;0
0;0;None;;BottomRight;False;0
0;0;None;;BottomRight;True;0
0;0;Face;08;BottomLeft;False;0
0;0;Face;02;BottomRight;False;0
0;0;Face;03;BottomLeft;True;0
0;0;Face;05;TopRight;False;0
0;0;Object;02;TopLeft;True;0
0;0;Object;06;TopLeft;False;0
0;0;Face;01;TopRight;False;0
0;0;Face;09;BottomRight;True;0
0;0;Object;05;BottomLeft;False;0
0;0;Face;07;BottomLeft;False;0
0;0;None;;BottomLeft;False;0
0;0;Face;04;TopLeft;True;0
0;0;Object;03;BottomRight;False;0
0;0;Face;10;TopLeft;False;0
0;0;None;;TopLeft;True;0
0;0;None;;TopLeft;False;-1
0;0;Object;08;TopLeft;False;-1
0;0;Face;04;TopLeft;False;-1
0;0;Object;09;BottomLeft;True;-1
0;0;Object;07;BottomRight;False;-1
0;0;Face;02;BottomLeft;False;-1
0;0;None;;BottomLeft;False;-1
0;0;Face;01;BottomLeft;True;-1
0;0;Object;09;BottomRight;False;-1
0;0;Face;08;TopLeft;False;-1
0;0;Object;08;TopRight;False;-1
0;0;None;;TopRight;True;-1
0;0;Face;08;BottomRight;False;-1
0;0;Object;01;TopRight;True;-1
0;1;Face;09;BottomLeft;False;1
0;1;Object;04;TopLeft;True;1
0;1;None;;BottomRight;False;1
0;1;None;;TopRight;False;1
0;1;Object;08;BottomLeft;False;1
0;1;None;;TopRight;True;1
0;1;Face;03;BottomRight;False;1
0;1;None;;BottomLeft;True;1
0;1;Object;01;TopRight;False;1
0;1;Face;10;TopRight;False;1
0;1;Face;04;TopRight;False;1
0;1;Face;07;BottomRight;True;1
0;1;Object;05;TopRight;False;1
0;1;Object;03;BottomLeft;True;1
0;1;Object;07;BottomLeft;False;1
0;1;Object;10;TopLeft;False;1
0;1;Face;08;TopRight;True;1
0;1;Object;02;BottomRight;False;1
0;1;None;;TopLeft;False;1
0;1;Face;01;BottomLeft;False;1
0;1;Object;09;BottomRight;True;1
0;1;Face;05;BottomLeft;False;1
0;1;Object;06;BottomRight;False;1
0;1;Face;06;TopLeft;False;1
0;1;Face;02;TopLeft;True;1
0;1;None;;BottomLeft;False;-1
0;1;Face;06;BottomRight;True;-1
0;1;Face;07;TopLeft;False;-1
0;1;Object;09;TopRight;False;-1
0;1;Face;07;BottomLeft;True;-1
0;1;Face;09;BottomRight;False;-1
0;1;Object;03;BottomLeft;False;-1
0;1;Object;04;BottomRight;True;-1
0;1;Object;03;TopRight;False;-1
0;1;None;;TopLeft;False;-1
0;1;Object;10;TopRight;True;-1
0;1;Face;06;TopRight;False;-1
0;1;None;;BottomRight;False;-1
0;1;None;;TopLeft;True;-1
0;2;Object;04;TopLeft;False;-1
0;2;Face;04;BottomRight;False;-1
0;2;Face;01;TopRight;True;-1
0;2;Object;02;TopLeft;False;-1
0;2;None;;TopRight;False;-1
0;2;Face;03;TopRight;False;-1
0;2;Object;08;TopLeft;True;-1
0;2;Object;01;BottomRight;False;-1
0;2;Face;05;TopLeft;False;-1
0;2;Object;05;TopLeft;False;-1
0;2;Face;08;TopLeft;True;-1
0;2;Face;02;TopRight;False;-1
0;2;None;;TopLeft;False;-1
0;2;Face;01;BottomRight;False;-1
0;2;Face;03;TopRight;True;-1
0;2;Object;01;TopLeft;False;-1
0;2;Object;07;BottomLeft;True;-1
0;2;Object;06;BottomLeft;False;-1
0;2;Face;10;BottomLeft;False;-1
0;2;None;;BottomRight;True;-1
0;2;None;;BottomLeft;False;-1
0;2;Face;02;BottomRight;True;-1
0;2;Face;01;TopLeft;False;-1
0;2;Object;08;BottomRight;False;-1
0;2;Object;03;TopRight;True;-1
0;2;None;;TopRight;False;-1
0;2;Object;04;BottomLeft;False;-1
0;2;Object;06;BottomRight;True;-1
0;2;Face;02;TopLeft;False;-1
