timestamp, eventType, delayFromPrevious, id, triggeredByEventID, triggersEventID
1.4;Background;1.4;0;-1;-1
3;Background;1.6;1;-1;-1
4.3;Background;1.3;2;-1;-1
6;Background;1.7;3;-1;0
6;Stimulus;6;0;3;-1
7.3;Background;1.3;4;-1;-1
8.7;Background;1.4;5;-1;-1
9.9;Background;1.2;6;-1;1
9.9;Stimulus;3.9;1;6;0
9.9;Probe;9.9;0;1;-1
11.1;Background;1.2;7;-1;-1
12.5;Background;1.4;8;-1;-1
14;Background;1.5;9;-1;-1
15;Background;1;10;-1;2
15;Stimulus;5.1;2;10;-1
16.9;Background;1.9;11;-1;-1
17.9;Background;1;12;-1;-1
19.8;Background;1.9;13;-1;3
19.8;Stimulus;4.8;3;13;1
19.8;Probe;9.9;1;3;-1
21.6;Background;1.8;14;-1;-1
23.1;Background;1.5;15;-1;4
23.1;Stimulus;3.3;4;15;-1
24.5;Background;1.4;16;-1;-1
26.1;Background;1.6;17;-1;-1
27.3;Background;1.2;18;-1;5
27.3;Stimulus;4.2;5;18;-1
29.3;Background;2;19;-1;-1
30.3;Background;1;20;-1;6
30.3;Stimulus;3;6;20;-1
32.3;Background;2;21;-1;-1
33.5;Background;1.2;22;-1;-1
35.1;Background;1.6;23;-1;7
35.1;Stimulus;4.8;7;23;2
35.1;Probe;15.3;2;7;-1
36.5;Background;1.4;24;-1;-1
37.6;Background;1.1;25;-1;-1
39.5;Background;1.9;26;-1;-1
40.5;Background;1;27;-1;8
40.5;Stimulus;5.4;8;27;-1
42.2;Background;1.7;28;-1;-1
44;Background;1.8;29;-1;-1
45;Background;1;30;-1;9
45;Stimulus;4.5;9;30;3
45;Probe;9.9;3;9;-1
46.8;Background;1.8;31;-1;-1
48;Background;1.2;32;-1;10
48;Stimulus;3;10;32;-1
49.8;Background;1.8;33;-1;-1
51.5;Background;1.7;34;-1;11
51.5;Stimulus;3.5;11;34;-1
52.7;Background;1.2;35;-1;-1
54.5;Background;1.8;36;-1;-1
56.4;Background;1.9;37;-1;-1
57.5;Background;1.1;38;-1;12
57.5;Stimulus;6;12;38;4
57.5;Probe;12.5;4;12;-1
58.9;Background;1.4;39;-1;-1
60.4;Background;1.5;40;-1;-1
61.7;Background;1.3;41;-1;13
61.7;Stimulus;4.2;13;41;-1
63.6;Background;1.9;42;-1;-1
64.7;Background;1.1;43;-1;-1
66.5;Background;1.8;44;-1;14
66.5;Stimulus;4.8;14;44;-1
68.3;Background;1.8;45;-1;-1
69.7;Background;1.4;46;-1;-1
71;Background;1.3;47;-1;15
71;Stimulus;4.5;15;47;-1
73;Background;2;48;-1;-1
74.2;Background;1.2;49;-1;-1
75.6;Background;1.4;50;-1;16
75.6;Stimulus;4.6;16;50;5
75.6;Probe;18.1;5;16;-1
77.3;Background;1.7;51;-1;-1
78.4;Background;1.1;52;-1;-1
80.2;Background;1.8;53;-1;-1
81.3;Background;1.1;54;-1;17
81.3;Stimulus;5.7;17;54;-1
83;Background;1.7;55;-1;-1
84.6;Background;1.6;56;-1;18
84.6;Stimulus;3.3;18;56;-1
