timestamp, eventType, delayFromPrevious, id, triggeredByEventID, triggersEventID
2;Background;2;0;-1;-1
3.6;Background;1.6;1;-1;0
3.6;Stimulus;3.6;0;1;-1
5;Background;1.4;2;-1;-1
6.5;Background;1.5;3;-1;-1
7.8;Background;1.3;4;-1;1
7.8;Stimulus;4.2;1;4;-1
9.7;Background;1.9;5;-1;-1
10.7;Background;1;6;-1;-1
12.6;Background;1.9;7;-1;2
12.6;Stimulus;4.8;2;7;-1
14.4;Background;1.8;8;-1;-1
16.1;Background;1.7;9;-1;3
16.1;Stimulus;3.5;3;9;0
16.1;Probe;16.1;0;3;-1
17.5;Background;1.4;10;-1;-1
19.1;Background;1.6;11;-1;-1
20.3;Background;1.2;12;-1;4
20.3;Stimulus;4.2;4;12;-1
22.2;Background;1.9;13;-1;-1
23.9;Background;1.7;14;-1;5
23.9;Stimulus;3.6;5;14;-1
25.2;Background;1.3;15;-1;-1
26.6;Background;1.4;16;-1;-1
27.8;Background;1.2;17;-1;6
27.8;Stimulus;3.9;6;17;1
27.8;Probe;11.7;1;6;-1
29;Background;1.2;18;-1;-1
30.4;Background;1.4;19;-1;-1
31.9;Background;1.5;20;-1;-1
32.9;Background;1;21;-1;7
32.9;Stimulus;5.1;7;21;-1
34.6;Background;1.7;22;-1;-1
35.7;Background;1.1;23;-1;-1
37.5;Background;1.8;24;-1;-1
38.6;Background;1.1;25;-1;8
38.6;Stimulus;5.7;8;25;2
38.6;Probe;10.8;2;8;-1
40.1;Background;1.5;26;-1;-1
41.4;Background;1.3;27;-1;-1
43.1;Background;1.7;28;-1;-1
44.3;Background;1.2;29;-1;9
44.3;Stimulus;5.7;9;29;-1
46.3;Background;2;30;-1;-1
47.3;Background;1;31;-1;-1
48.8;Background;1.5;32;-1;-1
50.3;Background;1.5;33;-1;10
50.3;Stimulus;6;10;33;3
50.3;Probe;11.7;3;10;-1
52.1;Background;1.8;34;-1;-1
53.6;Background;1.5;35;-1;11
53.6;Stimulus;3.3;11;35;-1
55.3;Background;1.7;36;-1;-1
56.9;Background;1.6;37;-1;-1
58.7;Background;1.8;38;-1;12
58.7;Stimulus;5.1;12;38;-1
60.2;Background;1.5;39;-1;-1
61.8;Background;1.6;40;-1;-1
62.9;Background;1.1;41;-1;13
62.9;Stimulus;4.2;13;41;4
62.9;Probe;12.6;4;13;-1
64.9;Background;2;42;-1;-1
66.1;Background;1.2;43;-1;-1
67.5;Background;1.4;44;-1;14
67.5;Stimulus;4.6;14;44;-1
69.5;Background;2;45;-1;-1
71.4;Background;1.9;46;-1;15
71.4;Stimulus;3.9;15;46;-1
73.2;Background;1.8;47;-1;-1
74.6;Background;1.4;48;-1;-1
75.9;Background;1.3;49;-1;16
75.9;Stimulus;4.5;16;49;-1
77.9;Background;2;50;-1;-1
79.2;Background;1.3;51;-1;17
79.2;Stimulus;3.3;17;51;5
79.2;Probe;16.3;5;17;-1
80.6;Background;1.4;52;-1;-1
82.2;Background;1.6;53;-1;-1
83.5;Background;1.3;54;-1;-1
85.2;Background;1.7;55;-1;18
85.2;Stimulus;6;18;55;-1
86.2;Background;1;56;-1;-1
87.7;Background;1.5;57;-1;-1
89.7;Background;2;58;-1;-1
90.9;Background;1.2;59;-1;19
90.9;Stimulus;5.7;19;59;6
90.9;Probe;11.7;6;19;-1
92.8;Background;1.9;60;-1;-1
93.9;Background;1.1;61;-1;-1
95.7;Background;1.8;62;-1;20
95.7;Stimulus;4.8;20;62;-1
97.1;Background;1.4;63;-1;-1
98.6;Background;1.5;64;-1;-1
99.9;Background;1.3;65;-1;21
99.9;Stimulus;4.2;21;65;-1
101.6;Background;1.7;66;-1;-1
103.4;Background;1.8;67;-1;-1
104.4;Background;1;68;-1;22
104.4;Stimulus;4.5;22;68;7
104.4;Probe;13.5;7;22;-1
105.8;Background;1.4;69;-1;-1
107.4;Background;1.6;70;-1;-1
108.6;Background;1.2;71;-1;23
108.6;Stimulus;4.2;23;71;-1
110.5;Background;1.9;72;-1;-1
111.6;Background;1.1;73;-1;24
111.6;Stimulus;3;24;73;-1
113.6;Background;2;74;-1;-1
114.6;Background;1;75;-1;25
114.6;Stimulus;3;25;75;-1
115.7;Background;1.1;76;-1;-1
117.4;Background;1.7;77;-1;-1
118.7;Background;1.3;78;-1;-1
119.7;Background;1;79;-1;26
119.7;Stimulus;5.1;26;79;8
119.7;Probe;15.3;8;26;-1
121.2;Background;1.5;80;-1;-1
122.8;Background;1.6;81;-1;-1
124.1;Background;1.3;82;-1;-1
125.1;Background;1;83;-1;27
125.1;Stimulus;5.4;27;83;-1
127.1;Background;2;84;-1;-1
128.7;Background;1.6;85;-1;28
128.7;Stimulus;3.6;28;85;-1
130.4;Background;1.7;86;-1;-1
131.5;Background;1.1;87;-1;-1
133.3;Background;1.8;88;-1;-1
134.4;Background;1.1;89;-1;29
134.4;Stimulus;5.7;29;89;-1
136.1;Background;1.7;90;-1;-1
137.7;Background;1.6;91;-1;30
137.7;Stimulus;3.3;30;91;9
137.7;Probe;18;9;30;-1
138.9;Background;1.2;92;-1;-1
140.3;Background;1.4;93;-1;-1
141.8;Background;1.5;94;-1;-1
142.8;Background;1;95;-1;31
142.8;Stimulus;5.1;31;95;-1
144.6;Background;1.8;96;-1;-1
146.3;Background;1.7;97;-1;32
146.3;Stimulus;3.5;32;97;-1
148.3;Background;2;98;-1;-1
149.5;Background;1.2;99;-1;-1
151.1;Background;1.6;100;-1;33
